"osm_id","feature","key","lat","lng","intersection","area"
"368072477","amenity","bar",-87.6611679,42.0019761,46,"882664d8c1fffff"
"370884554","amenity","bar",-87.6565645,41.9470876,771,"882664c161fffff"
"370884874","amenity","bar",-87.6590892,41.9501029,771,"882664c161fffff"
"378091335","amenity","bar",-87.6560144,41.946303,771,"882664c161fffff"
"477087119","amenity","bar",-87.6631281,41.9251337,789,"882664c121fffff"
"477087140","amenity","bar",-87.6460993,41.9233904,840,"882664c107fffff"
"477087270","amenity","bar",-87.6529693,41.9216452,790,"882664c13dfffff"
"477087310","amenity","bar",-87.6488467,41.9216973,790,"882664c13dfffff"
"479652775","amenity","bar",-87.6472956,41.8841895,62,"882664cad3fffff"
"529966338","amenity","bar",-87.6342975,41.8854777,731,"882664c1e7fffff"
"691850892","amenity","bar",-87.6462733,41.8528159,303,"882664cf41fffff"
"712845235","amenity","bar",-87.8822511,42.024497,NA,""
"846810579","amenity","bar",-87.6818666,41.8993137,567,"882664cac7fffff"
"938829350","amenity","bar",-87.6662451,42.0073549,46,"882664d8c1fffff"
"949089361","amenity","bar",-87.6490719,41.9499295,292,"882664c16bfffff"
"949092165","amenity","bar",-87.6493831,41.9486448,292,"882664c16bfffff"
"949094860","amenity","bar",-87.6495882,41.9453312,292,"882664c16bfffff"
"949099772","amenity","bar",-87.6495172,41.9435267,292,"882664c16bfffff"
"949100448","amenity","bar",-87.6492449,41.9435227,292,"882664c16bfffff"
"949101636","amenity","bar",-87.6492355,41.9429791,292,"882664c16bfffff"
"949101940","amenity","bar",-87.6494743,41.9424334,748,"882664c163fffff"
"961812116","amenity","bar",-87.6858588,41.8691031,802,"882664cab9fffff"
"1081342848","amenity","bar",-87.9412963,42.0272777,NA,""
"1081342854","amenity","bar",-87.9410809,42.0272762,NA,""
"1081342860","amenity","bar",-87.9412925,42.0271528,NA,""
"1081342863","amenity","bar",-87.9410816,42.0272996,NA,""
"1081342865","amenity","bar",-87.9411418,42.0272986,NA,""
"1081342916","amenity","bar",-87.9409438,42.0272785,NA,""
"1081342920","amenity","bar",-87.9411413,42.0272802,NA,""
"1081342922","amenity","bar",-87.9409401,42.0271587,NA,""
"1092085176","amenity","bar",-87.6733215,41.8997523,541,"882664cac3fffff"
"1092085195","amenity","bar",-87.6745111,41.8980584,541,"882664cac3fffff"
